observation_date,CPI,IP,MB,M1,M2
11/1/2005,198.1,100.3282,817.475,1375.9,6640.7
12/1/2005,198.1,100.9458,815.439,1374.3,6667.4
1/1/2006,199.3,101.0637,825.173,1379.5,6709.9
2/1/2006,199.4,101.0761,832.414,1378.4,6734.2
3/1/2006,199.7,101.2742,834.047,1383.1,6748.5
4/1/2006,200.7,101.6854,835.329,1381.4,6785.6
5/1/2006,201.3,101.5801,836.974,1387.2,6792.3
6/1/2006,201.8,101.9746,836.893,1375.5,6830.2
7/1/2006,202.9,101.9374,835.001,1372.5,6871.6
8/1/2006,203.8,102.3309,834.647,1372.6,6902.3
9/1/2006,202.8,102.1204,834.227,1364.3,6929.4
10/1/2006,201.9,102.0653,837.901,1370.4,6978.8
11/1/2006,202,101.9538,840.326,1370.5,7013.6
12/1/2006,203.1,103.026,837.709,1366.4,7056.8
1/1/2007,203.437,102.4915,843.499,1371.7,7094.8
2/1/2007,204.226,103.5443,847.26,1362.9,7110.6
3/1/2007,205.288,103.7537,848.177,1366.4,7144.3
4/1/2007,205.904,104.5018,848.954,1378.2,7216.5
5/1/2007,206.755,104.5419,849.602,1381,7230.1
6/1/2007,207.234,104.5669,851.155,1368.2,7263.3
7/1/2007,207.603,104.5217,851.852,1371.9,7293.6
8/1/2007,207.667,104.7387,853.398,1376.8,7370
9/1/2007,208.547,105.1499,851.454,1375.6,7388.1
10/1/2007,209.19,104.7167,856.411,1379.6,7402.1
11/1/2007,210.834,105.3037,857.433,1371.2,7427.1
12/1/2007,211.445,105.353,847.37,1373,7457.3
1/1/2008,212.174,105.073,851.369,1377.7,7491.1
2/1/2008,212.687,104.7137,857.104,1380.4,7575.8
3/1/2008,213.448,104.4635,860.66,1388.6,7641.7
4/1/2008,213.942,103.6727,855.651,1391.5,7684.6
5/1/2008,215.208,103.085,860.678,1393.6,7696.5
6/1/2008,217.463,102.8361,863.888,1404.6,7714
7/1/2008,219.016,102.2939,871.637,1421.2,7760.4
8/1/2008,218.69,100.7209,872.297,1407.9,7775.5
9/1/2008,218.877,96.3567,936.491,1462.2,7845.5
10/1/2008,216.995,97.2844,1142.186,1474.1,7954
11/1/2008,213.153,96.0552,1480.773,1513.6,8004.6
12/1/2008,211.398,93.252,1669.269,1601.1,8181.1
1/1/2009,211.933,91.0332,1730.169,1582.8,8262.4
2/1/2009,212.705,90.4375,1590.166,1567.1,8291.7
3/1/2009,212.495,89.0085,1668.491,1578.8,8357.8
4/1/2009,212.709,88.2959,1787.713,1612,8360.8
5/1/2009,213.022,87.4078,1799.228,1617.9,8418.1
6/1/2009,214.79,87.0694,1704.012,1659,8427.7
7/1/2009,214.726,88.0285,1693.748,1662.7,8432.5
8/1/2009,215.445,89.0244,1728.132,1660.7,8432
9/1/2009,215.861,89.6975,1819.75,1665.1,8431.1
10/1/2009,216.509,89.9906,1975.372,1678.3,8458.2
11/1/2009,217.234,90.3515,2044.694,1681.3,8488.3
12/1/2009,217.347,90.6212,2017.35,1691.9,8483.4
1/1/2010,217.488,91.6849,2010.154,1674.6,8445.6
2/1/2010,217.281,92.0073,2151.018,1699.7,8495.2
3/1/2010,217.353,92.6104,2106.633,1711.9,8492.3
4/1/2010,217.403,92.96,2044.379,1699.6,8522.6
5/1/2010,217.29,94.2988,2034.558,1710.6,8577.4
