xDatex,PUS,PMX,RUS,RMX
13-Aug,233.456,81.824328000000,0.08,2.98
13-Sep,233.544,82.132340000000,0.08,2.83
13-Oct,233.669,82.522988000000,0.09,2.85
13-Nov,234.1,83.292265000000,0.08,2.74
13-Dec,234.719,83.770058000000,0.09,2.64
14-Jan,235.288,84.519052000000,0.07,2.57
14-Feb,235.547,84.733157000000,0.07,2.61
14-Mar,236.028,84.965292000000,0.08,2.54
14-Apr,236.468,84.806779000000,0.09,2.55
14-May,236.918,84.535579000000,0.09,2.60
14-Jun,237.231,84.682072000000,0.10,2.50
14-Jul,237.498,84.914959000000,0.09,2.35
14-Aug,237.46,85.219965000000,0.09,2.30
14-Sep,237.477,85.596340000000,0.09,2.28
14-Oct,237.43,86.069626000000,0.09,2.26
14-Nov,236.983,86.763778000000,0.09,2.25
14-Dec,236.252,87.188984000000,0.12,2.15
15-Jan,234.747,87.110103000000,0.11,2.20
15-Feb,235.342,87.275377000000,0.11,2.24
15-Mar,235.976,87.630717000000,0.11,2.21
15-Apr,236.222,87.403840000000,0.12,2.23
15-May,237.001,86.967366000000,0.12,2.24
15-Jun,237.657,87.113108000000,0.13,2.23
15-Jul,238.034,87.240820000000,0.13,2.15
15-Aug,238.033,87.424875000000,0.14,2.13
15-Sep,237.498,87.752419000000,0.14,2.16
15-Oct,237.733,88.203919000000,0.12,2.16
15-Nov,238.017,88.685468000000,0.12,2.13
15-Dec,237.761,89.046818000000,0.24,2.11
16-Jan,237.652,89.386381000000,0.34,2.19
16-Feb,237.336,89.777781000000,0.38,2.24
16-Mar,238.08,89.910001000000,0.36,2.40
16-Apr,238.992,89.625278000000,0.37,2.47
16-May,239.557,89.225615000000,0.37,2.53
16-Jun,240.222,89.324028000000,0.38,2.57
16-Jul,240.101,89.556914000000,0.39,2.67
16-Aug,240.545,89.809333000000,0.40,2.75
16-Sep,241.176,90.357744000000,0.40,2.82
16-Oct,241.741,90.906154000000,0.40,2.98
16-Nov,242.026,91.616834000000,0.41,3.11
16-Dec,242.637,92.039035000000,0.54,3.28
17-Jan,243.618,93.603882000000,0.65,3.60
17-Feb,244.006,94.144780000000,0.66,3.72
17-Mar,243.892,94.722489000000,0.79,3.93
17-Apr,244.193,94.838933000000,0.90,4.07
17-May,244.004,94.725494000000,0.91,4.18
17-Jun,244.163,94.963640000000,1.04,4.31
17-Jul,244.243,95.322736000000,1.15,4.33
17-Aug,245.183,95.793768000000,1.16,4.48
17-Sep,246.435,96.093515000000,1.15,4.51
17-Oct,246.626,96.698269000000,1.15,4.56
17-Nov,247.284,97.695174000000,1.16,4.66
17-Dec,247.805,98.272883000000,1.30,4.62
18-Jan,248.859,98.795000000000,1.41,4.69
18-Feb,249.529,99.171374000000,1.42,4.86
18-Mar,249.577,99.492157000000,1.51,5.01
18-Apr,250.227,99.154847000000,1.69,5.04
18-May,250.792,98.994080000000,1.70,5.06
18-Jun,251.018,99.376465000000,1.82,5.10
18-Jul,251.214,99.909099000000,1.91,5.21
18-Aug,251.663,100.492000000000,1.91,5.36
18-Sep,252.182,100.917000000000,1.95,5.46
18-Oct,252.772,101.440000000000,2.19,5.41
18-Nov,252.594,102.303000000000,2.20,5.43
18-Dec,252.767,103.020000000000,2.27,5.55
19-Jan,252.718,103.108000000000,2.40,5.55
19-Feb,253.322,103.079000000000,2.40,5.69
19-Mar,254.202,103.476000000000,2.41,5.73
19-Apr,255.211,103.531000000000,2.42,5.76
19-May,255.29,103.233000000000,2.39,5.78
19-Jun,255.159,103.299000000000,2.38,5.81
19-Jul,255.685,103.687000000000,2.40,6.46
19-Aug,256.059,103.670000000000,2.13,6.58
19-Sep,256.511,103.942000000000,2.04,6.46
19-Oct,257.244,104.503000000000,1.83,6.25
19-Nov,257.803,105.346000000000,1.55,6.11
19-Dec,258.616,105.934000000000,1.55,5.95
20-Jan,259.037,106.447000000000,1.55,5.78
20-Feb,259.248,106.889000000000,1.58,5.71
20-Mar,258.124,106.838000000000,0.65,5.53
20-Apr,256.092,105.755000000000,0.05,5.30
20-May,255.868,106.162000000000,0.05,4.92
20-Jun,256.986,106.743000000000,0.08,4.55
20-Jul,258.278,107.444000000000,0.09,4.14
20-Aug,259.411,107.867000000000,0.10,3.94
20-Sep,260.029,108.114000000000,0.09,3.69
20-Oct,260.286,108.774000000000,0.09,3.48
20-Nov,260.813,108.856000000000,0.09,3.37
20-Dec,262.035,109.271000000000,0.09,3.33
21-Jan,262.65,110.210000000000,0.09,3.33
21-Feb,263.638,110.907000000000,0.08,3.25
21-Mar,264.914,111.824000000000,0.07,3.18
21-Apr,266.67,112.190000000000,0.07,3.11
21-May,268.444,112.419000000000,0.06,3.08
21-Jun,270.559,113.018000000000,0.08,3.05
21-Jul,271.764,113.682000000000,0.10,3.11
21-Aug,272.87,113.899000000000,0.09,3.19
21-Sep,274.028,114.601000000000,0.08,3.27
21-Oct,276.522,115.561000000000,0.08,3.36
21-Nov,278.711,116.884000000000,0.08,3.49
21-Dec,280.887,117.308000000000,0.08,3.63
22-Jan,282.599,118.002000000000,0.08,3.82
22-Feb,284.61,118.981000000000,0.08,3.95
22-Mar,287.472,120.159000000000,0.20,4.14
22-Apr,288.611,120.809000000000,0.33,4.41
22-May,291.268,121.022000000000,0.77,4.60
22-Jun,294.728,122.044000000000,1.21,4.89
22-Jul,294.628,122.948000000000,1.68,5.18
22-Aug,295.32,123.803000000000,2.33,5.50
22-Sep,296.539,124.571000000000,2.56,5.81
22-Oct,297.987,125.276000000000,3.08,6.20
